Serial,hours_per_day,tot_wellbeing,sex,minority,deprived
1000374,4.5,49,female,0,0
1000375,7,34,female,0,0
1000376,4.5,36,female,0,0
1000377,4.5,35,female,0,0
1000378,7,44,female,0,0
1000379,1.5,42,female,0,0
1000380,4.5,47,female,0,0
1000382,5.5,42,female,0,0
1000384,6,38,female,0,0
1000385,7,57,female,0,0
1000386,2,62,female,0,0
1000387,7,44,female,0,0
1000389,5.5,56,female,0,0
1000390,5,37,female,0,0
1000391,5,48,female,0,0
1000392,7,36,female,0,0
1000397,4.5,40,female,0,0
1000398,7,43,female,1,0
1000399,2.5,36,female,0,0
1000400,3.5,67,female,0,0
1000401,2.5,57,female,0,0
1000402,4,33,female,0,0
1000403,1.5,53,female,0,0
1000404,2,53,female,0,0
1000405,4,59,female,0,0
1000408,4,44,female,0,0
1000409,2.5,41,female,0,0
1000411,7,46,female,0,0
1000412,2.5,33,female,0,0
1000416,3.5,60,female,0,0
1000418,5,42,female,0,0
1000419,5,54,female,0,0
1000424,4.5,23,female,0,0
1000425,3.5,42,female,0,0
1000427,5,43,female,0,0
1000428,6.5,20,female,0,0
1000429,6.5,43,female,0,0
1000430,2,53,female,0,0
1000431,7,48,female,0,0
1000432,5,31,female,0,0
1000433,6.5,47,female,0,0
1000434,5,49,female,0,0
1000436,7,51,female,0,0
1000437,7,30,female,0,0
1000438,4,53,female,0,0
1000440,1.75,46,female,0,0
1000441,2.5,43,female,0,0
1000442,2.5,42,female,0,0
1000445,4.5,29,female,0,1
1000448,5.5,32,female,0,1
1000449,7,47,female,0,1
1000451,6.5,51,female,0,1
1000452,3.5,52,female,0,1
1000453,4,51,female,0,1
1000454,5,38,female,0,1
1000455,6,30,female,1,1
1000456,3.5,59,female,0,1
1000458,7,47,female,0,1
1000460,6.5,42,female,1,0
1000461,1.5,28,female,1,0
1000462,6,57,female,1,0
1000463,2,54,female,1,0
1000466,3,40,female,1,0
1000467,6.5,39,female,0,0
1000468,5,50,female,0,0
1000469,6.5,47,female,0,0
1000471,2,37,female,1,0
1000472,5.5,35,female,1,0
1000474,7,42,female,0,1
1000475,2,53,female,0,1
1000476,7,34,female,0,1
1000477,7,18,female,0,1
1000478,3.5,32,female,0,1
1000479,6.5,48,female,0,1
1000480,7,52,female,0,1
1000482,6.5,31,female,0,1
1000484,3,31,female,0,1
1000485,5,45,female,0,1
1000486,2.5,47,female,0,1
1000487,6,34,female,0,1
1000488,7,39,female,0,1
1000489,5,44,female,0,1
1000491,5,42,female,0,1
1000492,1.5,38,female,0,1
1000493,7,62,female,0,1
1000496,5,44,female,0,1
1000497,7,44,female,0,1
1000498,7,39,female,0,1
1000500,7,57,female,0,1
1000501,7,31,female,0,1
1000502,4,52,female,0,1
1000503,7,51,female,0,1
1000506,7,45,female,0,1
1000507,7,40,female,0,1
1000508,7,43,female,0,1
1000509,6,24,female,0,1
1000510,3,43,female,0,1
1000511,6.5,52,female,0,1
1000512,7,32,female,0,1
1000513,3.5,48,female,0,1
1000515,7,33,female,0,1
1000519,7,34,female,0,1
1000520,1.5,59,female,0,1
1000522,7,54,female,0,1
1000524,5.5,40,female,0,1
1000525,5,41,female,0,1
1000526,6.5,53,female,0,1
1000527,6,36,female,0,1
1000528,2.5,43,female,0,1
1000529,5,50,female,0,1
1000530,7,45,female,0,1
1000532,4,54,female,0,1
1000533,3.5,32,female,1,1
1000536,7,53,female,0,1
1000538,4,55,female,0,1
1000539,3,54,female,0,1
1000540,6,38,female,0,1
1000541,3.5,53,female,0,1
1000542,7,59,female,0,1
1000543,1.5,24,female,0,1
1000546,7,58,female,0,1
1000547,7,26,female,0,1
1000548,7,55,female,0,1
1000549,6,55,female,0,1
1000550,7,50,female,0,1
1000551,2,46,female,0,1
1000552,3.5,65,female,0,1
1000556,7,24,female,0,1
1000558,7,47,female,0,1
1000559,7,66,female,0,1
1000560,7,44,female,0,1
1000561,7,31,female,0,1
1000562,2.5,31,female,0,1
1000563,5,52,female,0,1
1000564,7,45,female,0,1
1000565,6,37,female,1,1
1000567,7,31,female,0,1
1000568,7,29,female,0,1
1000569,7,38,female,0,1
1000570,5.5,43,female,0,1
1000571,5.5,37,female,0,1
1000572,1.5,53,female,0,1
1000573,1.5,42,female,0,1
1000574,7,33,female,0,1
1000575,3,41,female,1,1
1000576,5,60,female,0,1
1000577,3,41,female,0,1
1000578,7,59,female,0,1
1000579,3.5,55,female,0,1
1000580,4.5,52,female,0,1
1000581,3,42,female,0,1
1000582,3,54,female,0,1
1000584,7,32,female,1,0
1000585,4.5,63,female,0,0
1000586,3.5,35,female,0,0
1000587,4.5,39,female,0,0
1000588,3,40,female,0,0
1000589,7,33,female,0,0
1000590,2,25,female,0,0
1000591,7,55,female,0,0
1000592,6,37,female,0,0
1000593,1.5,46,female,0,0
1000594,1.5,61,female,0,0
1000596,4,51,female,0,0
1000597,4,37,female,0,0
1000598,3,48,female,0,0
1000599,2,61,female,0,0
1000601,2.5,39,female,0,0
1000602,7,38,female,0,0
1000604,4.5,38,female,0,0
1000605,6,46,female,0,0
1000607,1.5,51,female,0,0
1000608,2,49,female,0,0
1000609,7,33,female,0,0
1000611,4,25,female,0,0
1000612,7,49,female,0,0
1000613,7,23,female,0,0
1000614,2,43,female,0,0
1000615,6.5,47,female,0,0
1000616,4,42,female,0,0
1000618,7,50,female,0,0
1000620,3,49,female,0,0
1000622,7,35,female,0,0
1000623,6,39,female,0,0
1000624,5,43,female,0,0
1000625,3.5,65,female,0,0
1000627,7,59,female,0,0
1000628,1.5,46,female,0,0
1000629,7,32,female,0,0
1000630,7,47,female,0,0
1000632,7,53,female,0,0
1000633,7,46,female,0,0
1000636,1.5,61,female,0,0
1000637,7,48,female,0,0
1000638,4,50,female,0,0
1000639,4.5,20,female,0,0
1000640,4,45,female,0,0
1000641,5,29,female,0,0
1000642,3,44,female,0,0
1000643,5.5,43,female,0,0
1000644,3,59,female,0,0
1000645,2.5,42,female,0,0
1000646,3.5,49,female,0,0
1000647,3,51,female,0,0
1000648,3,45,female,0,0
1000649,5.5,49,female,0,0
1000650,4,60,female,0,0
1000652,6.5,51,female,0,0
1000653,7,62,female,0,0
1000654,3,33,female,0,0
1000655,7,40,female,1,0
1000656,2.5,44,female,0,0
1000657,7,40,female,0,0
1000658,2,38,female,0,0
1000659,5,22,female,0,0
1000660,6.5,42,female,0,0
1000661,5.5,50,female,0,0
1000664,6,49,female,0,0
1000666,5.5,58,female,0,0
1000667,7,36,female,0,0
1000669,7,37,female,0,0
1000671,2.5,47,female,0,0
1000672,2.5,41,female,0,0
1000673,3.5,46,female,0,0
1000676,3,40,female,0,0
1000679,7,49,female,0,0
1000680,7,46,female,0,0
1000682,6.5,49,female,0,0
1000683,7,54,female,0,0
1000684,5.5,48,female,0,0
1000685,2,40,female,0,0
1000690,7,37,female,0,0
1000692,7,58,female,0,0
1000693,5,46,female,0,0
1000694,2.5,40,female,0,0
1000695,7,15,female,0,0
1000696,4.5,53,female,0,0
1000697,7,40,female,1,0
1000698,7,39,female,0,0
1000699,5,43,female,0,0
1000700,4.5,54,female,0,0
1000701,7,42,female,0,0
1000702,4.5,53,female,0,0
1000704,4,38,female,0,0
1000706,2.5,57,female,0,0
1000707,3.5,55,female,0,0
1000708,4.5,33,female,0,0
1000709,2,48,female,0,0
1000710,3.5,52,female,0,0
1000712,3,54,female,0,0
1000713,1.25,64,female,0,0
1000714,3,43,female,0,0
1000715,6,28,female,0,0
1000716,2,45,female,0,0
1000717,3,48,female,0,0
1000718,7,44,female,0,0
1000719,2,48,female,0,0
1000722,4,42,female,0,0
1000723,2,55,female,0,0
1000724,2.5,58,female,0,0
1000725,5,50,female,0,0
1000728,6,51,female,0,0
1000729,7,25,female,0,0
1000731,6,39,female,0,0
1000732,4.5,45,female,0,0
1000737,3,47,female,0,0
1000740,5,43,female,0,0
1000743,3.5,50,female,0,1
1000745,2.5,49,female,1,1
1000746,5,55,female,0,1
1000749,7,18,female,0,1
1000750,1.5,31,female,0,1
1000751,7,51,female,0,1
1000752,7,53,female,0,1
1000755,3.5,38,female,0,0
1000756,3,39,female,0,0
1000757,1.5,41,female,0,0
1000758,3,53,female,0,0
1000759,5.5,36,female,0,0
1000761,4,47,female,0,0
1000762,5,42,female,0,0
1000765,7,43,female,0,0
1000767,5.5,33,female,0,0
1000770,7,57,female,0,0
1000771,3.5,42,female,0,0
1000772,7,59,female,0,0
1000774,1.5,53,female,0,0
1000778,5,39,female,0,0
1000779,6.5,29,female,0,0
1000780,6,54,female,0,0
1000781,4,39,female,0,0
1000782,2,25,female,0,0
1000786,7,34,female,0,0
1000787,5.5,24,female,0,0
1000788,6.5,46,female,0,0
1000789,2.5,51,female,0,0
1000790,6,49,female,0,0
1000793,2.5,40,female,0,0
1000794,4,50,female,0,0
1000795,7,45,female,0,0
1000798,7,34,female,0,0
1000799,2.5,53,female,0,0
1000800,1.5,59,female,0,0
1000801,1.5,51,female,0,0
1000802,2.5,61,female,0,0
1000803,7,34,female,0,0
1000804,2,49,female,0,0
1000805,6,32,female,0,0
1000806,5.5,36,female,0,0
1000807,7,38,female,0,0
1000808,2.5,27,female,0,0
1000810,6,43,female,0,0
1000811,7,50,female,0,0
1000813,4,43,female,0,0
1000814,7,29,female,0,0
1000815,4.5,50,female,0,0
1000816,3.5,58,female,0,0
1000817,4.5,62,female,0,0
1000818,3,59,female,0,0
1000821,7,16,female,1,0
1000822,6,50,female,1,0
1000823,1.5,45,female,0,0
1000824,3.5,40,female,0,0
1000825,3.5,63,female,0,0
1000826,5,32,female,1,0
1000827,5,47,female,0,0
1000828,5.5,45,female,0,0
1000829,3,32,female,0,0
1000830,3,38,female,0,0
1000831,2,53,female,0,0
1000832,5,40,female,0,0
1000833,1.5,55,female,0,0
1000834,4.5,33,female,0,0
1000835,4,49,female,0,0
1000836,3,50,female,0,0
1000837,2.5,59,female,0,0
1000838,3.5,49,female,0,0
1000839,3,41,female,0,0
1000841,3,26,female,0,0
1000845,4,43,female,0,0
1000849,4.5,48,female,0,0
1000850,6,42,female,0,0
1000851,7,32,female,1,0
1000852,7,40,female,1,0
1000857,4,40,female,0,0
1000859,6,45,female,0,0
1000860,7,49,female,0,0
1000861,3,30,female,0,0
1000862,5.5,37,female,0,0
1000863,5.5,42,female,0,0
1000864,6.5,51,female,0,0
1000865,4,60,female,0,0
1000866,7,46,female,0,0
1000870,1.5,56,female,0,0
1000871,2,66,female,0,0
1000872,7,31,female,0,0
1000873,3.5,31,female,0,0
1000874,3.5,41,female,0,0
1000875,2,50,female,0,0
1000876,4.5,45,female,0,0
1000878,4,51,female,0,0
1000879,7,21,female,0,0
1000881,2.5,62,female,0,0
1000882,3.5,47,female,0,0
1000883,3.5,35,female,0,0
1000884,3.5,46,female,0,0
1000888,2,53,female,0,0
1000891,2.5,50,female,0,0
1000894,6,50,female,0,0
1000895,6.5,32,female,0,0
1000898,5,52,female,0,0
1000900,1.5,56,female,0,0
1000901,6.5,50,female,0,0
1000903,5,27,female,0,0
1000907,7,43,female,0,0
1000908,4.5,43,female,0,0
1000909,5,27,female,0,0
1000910,2.5,56,female,0,0
1000912,2.5,46,female,0,0
1000913,3,58,female,0,0
1000914,7,26,female,0,0
1000915,2.5,46,female,0,0
1000918,2.5,55,female,0,0
1000919,7,51,female,0,0
1000920,2,51,female,0,0
1000922,4,34,female,0,0
1000923,4,56,female,0,0
1000924,3.5,55,female,0,0
1000926,6,37,female,0,0
1000927,4.5,54,female,0,0
1000929,7,37,female,0,0
1000930,3,38,female,0,0
1000935,5,32,female,0,0
1000936,4,41,female,0,0
1000937,2.5,70,female,0,0
1000940,3.5,50,male,1,0
1000942,2.5,46,male,1,0
1000945,2,56,male,0,0
1000946,3,42,male,1,0
1000947,3,62,male,1,0
1000949,3,54,male,1,0
1000950,2.5,45,male,0,0
1000951,1.5,50,male,1,0
1000953,6,54,female,1,0
1000954,7,60,male,1,0
1000955,2.5,45,female,0,0
1000957,2.5,36,female,0,0
1000959,3.5,33,female,0,0
1000960,1.5,48,female,0,0
1000961,1.5,62,female,0,0
1000962,3.5,57,female,1,0
1000963,2.5,49,female,0,0
1000965,5.5,49,female,0,0
1000969,4,42,female,0,0
1000970,1.5,48,female,0,0
1000973,3,51,female,0,0
1000974,1.5,46,female,0,0
1000978,1.5,50,male,0,0
1000984,3.5,52,male,0,0
1000985,3.5,47,male,0,0
1000987,1.5,39,male,0,0
1000989,2,51,male,0,0
1000996,4.5,41,male,0,0
1000999,4.5,47,male,0,0
1001002,6.5,55,male,0,0
1001005,1.5,45,male,0,0
1001007,1.5,64,male,0,0
1001009,5.5,57,male,1,0
1001010,5.5,49,male,0,0
1001011,2,70,male,0,0
1001013,1.5,17,male,0,0
1001015,7,48,male,0,0
1001016,6,46,male,0,0
1001018,6,24,female,0,0
1001020,6,60,female,0,0
1001021,2.5,42,female,0,0
1001023,3,61,female,0,0
1001024,5.5,38,female,0,0
1001025,1.5,39,female,0,0
1001028,1.5,46,female,0,0
1001030,7,32,female,1,0
1001031,7,44,female,0,0
1001032,3.5,48,female,0,0
1001033,3.5,37,female,0,0
1001034,2.5,46,female,0,0
1001038,6.5,51,female,0,0
1001039,5,37,female,0,0
1001040,3.5,50,female,0,0
1001042,5,37,female,0,0
1001043,3.5,60,female,0,0
1001044,1.5,34,female,0,0
1001045,5.5,66,female,0,0
1001046,6.5,51,female,0,0
1001050,6.5,44,female,0,0
1001051,2.5,53,female,0,0
1001053,1.5,53,female,0,0
1001054,2,43,female,0,0
1001055,6.5,49,female,0,0
1001056,3.5,52,female,0,0
1001057,7,43,female,0,0
1001060,2,42,female,0,0
1001062,3,40,female,0,0
1001063,2.5,42,female,0,0
1001064,1.5,48,female,0,0
1001065,4,36,female,0,0
1001066,7,19,female,0,0
1001067,5.5,49,female,0,0
1001068,1.5,44,female,0,0
1001070,2.5,44,female,0,0
1001071,6,47,female,0,0
1001073,4,44,female,0,0
1001075,6.5,64,female,0,0
1001076,3,50,female,0,0
1001077,1.5,44,female,0,0
1001079,4,56,female,0,0
1001080,3,52,female,0,0
1001081,4.5,45,female,0,0
1001083,7,62,female,0,0
1001084,6,42,female,0,0
1001085,5.5,42,female,0,0
1001086,3,63,female,0,0
1001087,7,40,female,0,0
1001090,7,37,female,0,0
1001091,3.5,42,female,0,0
1001092,2,52,female,0,0
1001093,4.5,34,female,1,0
1001094,1.5,43,female,0,0
1001097,7,40,female,0,0
1001099,6.5,44,female,0,0
1001101,7,51,female,0,0
1001102,4,35,female,0,0
1001104,2.5,51,female,0,0
1001105,6,33,female,0,0
1001106,6,67,female,0,0
1001108,3,55,female,0,0
1001109,6.5,26,female,0,0
1001110,1.5,47,female,0,0
1001112,3,50,female,0,0
1001113,4.5,55,female,1,0
1001114,4.5,39,female,0,0
1001115,3.5,63,female,0,0
1001117,7,34,female,0,0
1001118,2,31,female,0,0
1001119,4.5,40,female,0,0
1001120,4.5,61,female,0,0
1001126,6,47,female,0,0
1001127,7,52,female,0,0
1001128,4,19,female,0,0
1001129,3.5,44,female,0,0
1001133,7,57,female,0,0
1001134,3.5,37,female,0,0
1001136,7,44,female,0,0
1001137,5.5,54,female,0,0
1001138,4.5,40,female,0,0
1001142,6.5,49,female,0,0
1001144,2,40,female,0,0
1001145,5.5,51,female,0,0
1001146,5.5,34,female,0,0
1001147,2.5,44,female,0,0
1001149,6.5,31,female,0,0
1001152,7,34,female,0,0
1001153,2.5,43,female,0,0
1001155,2.5,59,female,0,0
1001156,3,49,female,0,0
1001157,5.5,46,female,0,0
1001158,7,36,female,0,0
1001160,1.5,34,female,0,0
1001163,4.5,38,female,1,0
1001164,2.5,45,female,0,0
1001165,5.5,36,female,0,0
1001166,6,30,female,1,0
1001167,2.5,57,female,0,0
1001169,2,40,female,0,0
1001170,2.5,49,female,0,0
1001171,3.5,33,female,1,0
1001172,1.5,53,female,1,0
1001174,5,54,female,0,0
1001175,2,50,female,0,0
1001177,7,29,female,0,0
1001178,3,30,female,0,0
1001179,3,33,female,0,0
1001181,7,24,female,0,0
1001182,2.5,57,female,0,0
1001183,4,41,female,0,0
1001184,3.5,59,female,0,0
1001185,4.5,44,female,0,0
1001186,3,59,female,0,0
1001187,4,29,female,0,0
1001189,7,40,female,0,0
1001190,1.5,51,female,0,0
1001191,4.5,42,female,0,0
1001193,5,60,female,0,0
1001194,3.5,56,female,0,0
1001196,1.5,40,female,0,0
1001198,6.5,40,female,0,0
1001199,2.5,64,female,0,0
1001200,5,45,female,0,0
1001202,6.5,49,female,0,0
1001203,1.5,20,female,0,0
1001204,2,52,female,0,0
1001205,7,28,female,0,0
1001206,3.5,45,female,0,0
1001207,6,38,female,1,0
1001209,3.5,51,female,0,0
1001210,5.5,45,female,0,0
1001213,3,27,female,0,0
1001214,7,48,female,0,0
1001215,5.5,35,female,0,0
1001216,1.5,56,female,0,0
1001217,1.5,55,female,0,0
1001219,1.25,53,female,0,0
1001220,4,50,female,0,0
1001221,2,54,female,0,0
1001223,2.5,39,female,0,0
1001225,7,52,female,0,0
1001226,4.5,48,female,0,0
1001228,4,44,female,0,0
1001230,7,64,female,0,0
1001234,2,35,female,0,0
1001236,2.5,41,female,0,0
1001237,2,48,female,0,0
1001238,5.5,52,female,0,0
1001239,2.5,55,female,0,0
1001240,1.5,50,female,0,0
1001241,6,61,female,0,0
1001242,5.5,45,female,0,0
1001243,4,52,female,0,0
1001244,7,28,female,0,0
1001245,4.5,48,female,0,0
1001246,6,35,female,0,0
1001247,3.5,39,female,0,0
1001248,5.5,55,female,0,0
1001249,3.5,33,female,0,0
1001252,5.5,40,female,0,0
1001253,7,27,female,0,0
1001257,5.5,55,female,0,0
1001258,4,47,female,0,0
1001260,7,38,female,0,0
1001261,6.5,36,female,0,0
1001263,6,36,female,0,0
1001264,4.5,45,female,0,0
1001266,6,44,female,0,0
1001267,5,26,female,0,0
1001268,7,56,female,0,0
1001269,1.25,32,female,0,0
1001272,7,32,female,0,0
1001273,7,50,female,0,0
1001277,6,51,female,0,0
1001278,6.5,66,female,0,0
1001280,5.5,53,female,0,0
1001281,3,26,female,0,0
1001282,4,30,female,0,0
1001283,2,32,female,0,0
1001284,7,49,female,0,0
1001285,2,44,female,0,0
1001286,7,44,female,0,0
1001287,2,29,female,0,0
1001288,7,45,female,0,0
1001289,4.5,51,female,0,0
1001290,3.5,47,female,0,0
1001291,4,56,female,0,0
1001294,5.5,23,female,0,0
1001295,5,50,female,0,0
1001296,7,29,female,0,0
1001297,7,39,female,0,0
1001298,3.5,52,female,0,0
1001299,7,39,female,0,0
1001302,5,56,female,0,0
1001303,7,32,female,0,0
1001305,6,57,female,0,0
1001306,3.5,60,female,0,0
1001307,3.5,59,female,0,0
1001309,4.5,48,female,0,0
1001310,1.5,51,female,0,0
1001311,4.5,26,female,0,0
1001313,1.5,60,female,0,0
1001314,5,43,female,0,0
1001315,2.5,41,female,0,0
1001316,4,43,female,0,0
1001317,2.5,55,female,0,0
1001319,7,43,female,0,0
1001320,6.5,40,female,0,0
1001321,7,42,female,0,0
1001322,3,33,female,0,0
1001323,2,48,female,0,0
1001324,3.5,58,female,0,0
1001325,7,36,female,0,0
1001326,4,37,female,0,0
1001327,4.5,45,female,0,0
1001328,1.5,44,female,0,0
1001329,6,55,female,0,0
1001330,5,48,female,0,0
1001331,1.5,51,female,0,0
1001332,3,51,female,0,0
1001333,2.5,52,female,0,0
1001334,3,37,female,0,0
1001335,5.5,33,female,0,0
1001336,2,49,female,0,0
1001337,7,29,female,0,0
1001338,5.5,51,female,0,0
1001339,6,37,female,0,0
1001340,5,60,female,0,0
1001341,7,49,female,0,0
1001342,7,51,female,0,0
1001344,6,29,female,0,0
1001345,4.5,40,female,0,0
1001346,7,41,female,0,0
1001347,6.5,56,female,1,0
1001348,4,56,female,0,0
1001349,3,34,female,0,0
1001352,3.5,28,female,0,0
1001353,3.5,30,female,0,0
1001354,7,32,female,0,0
1001355,3,40,female,0,0
1001356,6,14,female,0,0
1001359,6,36,female,0,0
1001360,7,48,female,0,0
1001361,3,46,female,0,0
1001362,7,42,female,0,0
1001363,4,57,female,1,0
1001364,6,20,female,0,0
1001365,7,35,female,0,0
1001366,6.5,43,female,0,0
1001367,1.5,56,female,0,0
1001368,2,48,female,0,0
1001369,5,39,female,0,0
1001370,3,54,female,0,0
1001371,4,47,female,0,0
1001372,7,37,female,0,0
