trialorder,RT,accuracy,itemname,subjectid,group,gender,age.months,Voice,Nasal,Fricative,Liquid_SV,Bilabials,Labiodentals,Alveolars,Palatals,Velars,Glottals,task,logrt,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,TOWREW_skill,TOWRENW_skill,spoonerisms,OLD,PLD,Lg.UK.CDcount,brookesIMG,AoA_Kup_lem,regularity
124,590.6,1,class,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.771293443,5,8,5621,1405.25,1293,1.844444444,1.222222222,30,1.5,1.2,3.98583049,5.24137931,4.95,0
5,498,1,clean,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.697229343,5,3,9293,2323.25,1302,1.844444444,1.222222222,30,1.7,1.45,4.025756315,5.448275862,3.89,1
110,489,1,clerk,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.689308859,5,1,10427,2606.75,1097,1.844444444,1.222222222,30,1.9,1.8,2.705007959,4.551724138,6.74,0
42,484,1,club,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.684845362,4,1,1537,512.333,571,1.844444444,1.222222222,30,1.85,1.75,3.954435486,5.517241379,5.89,1
106,698.4,1,coast,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.844104231,5,3,7910,1977.5,2601,1.844444444,1.222222222,30,1.65,1.15,3.830075166,5.931034483,6.43,1
61,594.4,1,cod,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.774078801,3,16,3008,1504,1887,1.844444444,1.222222222,30,1,1,2.772321707,5.620689655,11.5,1
121,436.4,1,cold,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.639884742,4,12,4100,1366.667,2295,1.844444444,1.222222222,30,1.15,1,4.101678351,4.965517241,3.95,0
94,556.8,1,comb,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.745699227,4,5,4120,1373.333,2479,1.844444444,1.222222222,30,1.6,1,2.718501689,6.24137931,5.5,0
69,542,1,cook,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.733999287,4,11,3628,1209.333,2268,1.844444444,1.222222222,30,1.25,1.15,3.70018433,6.103448276,4.22,0
46,512.9,1,cope,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.710032699,4,17,4887,1629,2233,1.844444444,1.222222222,30,1,1,3.682776646,2.931034483,9.44,1
14,576,1,cost,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.760422483,4,9,6883,2294.333,2731,1.844444444,1.222222222,30,1.4,1.25,4.130848183,3.551724138,5.67,1
50,676,1,cough,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.829946696,5,6,4940,1235,2485,1.844444444,1.222222222,30,1.7,1.35,2.854306042,5.931034483,4.32,0
31,545.8,1,could,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.737033531,5,2,5512,1378,2434,1.844444444,1.222222222,30,1.85,1.4,4.616223371,2.137931034,4.32,0
92,628.9,1,deal,naming1,TDchild,Female,147.96,1,0,0,0,0,0,1,0,0,0,naming,2.798581595,4,16,7480,2493.333,1923,1.844444444,1.222222222,30,1.05,1,4.26883529,3.379310345,6,1
21,635,1,death,naming1,TDchild,Female,147.96,1,0,0,0,0,0,1,0,0,0,naming,2.802773725,5,1,9920,2480,2308,1.844444444,1.222222222,30,1.85,1.5,4.093631777,5.379310345,5.37,0
77,581,1,down,naming1,TDchild,Female,147.96,1,0,0,0,0,0,1,0,0,0,naming,2.764176132,4,4,1439,479.667,485,1.844444444,1.222222222,30,1.55,1.3,4.578730872,4.620689655,4.93222,1
26,509,1,draw,naming1,TDchild,Female,147.96,1,0,0,0,0,0,1,0,0,0,naming,2.706717782,4,5,3732,1244,1081,1.844444444,1.222222222,30,1.55,1.65,3.890253305,5.103448276,4.11,0
40,686.4,1,ease,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,0,0,naming,2.836577275,4,6,5298,1766,777,1.844444444,1.222222222,30,1.4,1,3.457276186,1.965517241,9.11,0
27,457.6,1,eat,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,0,0,naming,2.660486016,3,11,5996,2998,651,1.844444444,1.222222222,30,1,1,4.102982231,5.931034483,2.78,1
96,507,1,eye,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,0,0,naming,2.705007959,3,8,418,209,70,1.844444444,1.222222222,30,1.45,1,4.174612142,6.75862069,3.75,0
16,504.9,1,face,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.703205371,4,11,3524,1174.667,824,1.844444444,1.222222222,30,1.2,1,4.375059754,6.206896552,3.75,1
137,535.2,1,fact,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.728516105,4,5,3031,1010.333,735,1.844444444,1.222222222,30,1.55,1.25,4.377306251,3.034482759,6.47,1
131,426.3,1,fade,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.629715333,4,11,4080,1360,803,1.844444444,1.222222222,30,1.35,1,2.972202838,3.827586207,6.95,1
85,478,1,faith,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.679427897,5,0,4847,1211.75,1118,1.844444444,1.222222222,30,1.95,1.4,3.651859269,3.172413793,7.62,1
60,439.7,1,fall,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.643156466,4,12,5109,1703,1365,1.844444444,1.222222222,30,1.3,1,4.103803721,4.689655172,4.71,0
150,426,1,FALSE,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.629409599,5,0,5938,1484.5,1245,1.844444444,1.222222222,30,2,1.75,3.493736802,3,6.72,0
23,419.3,1,far,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.622524862,3,16,3393,1696.5,1261,1.844444444,1.222222222,30,1,1.05,4.474726042,3.448275862,4.878935,0
135,449,1,farm,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.652246341,4,6,3976,1325.333,1478,1.844444444,1.222222222,30,1.55,1.6,3.663229635,5.896551724,3.85,1
71,428.6,1,fast,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.632052167,4,11,5445,1815,1437,1.844444444,1.222222222,30,1.3,1.05,4.129012793,4.862068966,3.738636,0
54,497.8,1,fault,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.697054892,5,2,2302,575.5,628,1.844444444,1.222222222,30,1.8,1.35,3.844290743,2.965517241,6.94,0
35,426.1,1,fear,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.629511534,4,12,5351,1783.667,1368,1.844444444,1.222222222,30,1.25,1,3.93166124,4.275862069,4.79,0
158,459.1,1,from,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.661907293,4,2,3738,1246,1177,1.844444444,1.222222222,30,1.9,1.7,4.625528515,2.137931034,4.441998,1
39,465.2,1,front,naming1,TDchild,Female,147.96,0,0,1,0,0,1,0,0,0,0,naming,2.667639706,5,2,10145,2536.25,1569,1.844444444,1.222222222,30,1.8,1.75,4.338635752,3.75862069,5.187988,0
119,517.8,1,gain,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,1,0,naming,2.714162046,4,9,8428,2809.333,939,1.844444444,1.222222222,30,1.35,1,3.507990725,2.827586207,7.11,1
111,516.4,1,get,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,1,0,naming,2.712986234,3,14,2565,1282.5,520,1.844444444,1.222222222,30,1.2,1.05,4.625888384,2.448275862,3.17,0
151,499,1,give,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,1,0,naming,2.698100546,4,7,3352,1117.333,586,1.844444444,1.222222222,30,1.5,1.65,4.550350672,3.75862069,4.28,0
126,550,1,glass,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,1,0,naming,2.740362689,5,3,5478,1369.5,1112,1.844444444,1.222222222,30,1.75,1.5,3.852296966,6.172413793,4.47,0
74,596,1,gloom,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,1,0,naming,2.77524626,5,2,4048,1012,799,1.844444444,1.222222222,30,1.8,1.45,2.862727528,4.034482759,9,1
114,507.4,1,good,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,1,0,naming,2.705350463,4,8,1822,607.333,677,1.844444444,1.222222222,30,1.4,1.5,4.619416843,3.862068966,3.55,0
100,558.2,1,grace,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,1,0,naming,2.746789832,5,8,6954,1738.5,1773,1.844444444,1.222222222,30,1.4,1,3.335858911,2.517241379,7.287417,1
7,508.8,1,grant,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,1,0,naming,2.706547103,5,4,10359,2589.75,2000,1.844444444,1.222222222,30,1.7,1.55,3.457276186,3.034482759,12.008468,0
132,577.2,1,guard,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,1,0,naming,2.761326322,5,0,4407,1101.75,801,1.844444444,1.222222222,30,1.95,1.25,3.458033192,5.586206897,6.25,1
109,541,1,guide,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,1,0,naming,2.733197265,5,3,4260,1065,761,1.844444444,1.222222222,30,1.75,1,3.635785236,4.379310345,7.11,1
59,553,1,halt,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,0,1,naming,2.742725131,4,9,4580,1526.667,1078,1.844444444,1.222222222,30,1.4,1.3,3.172894698,3.724137931,8.11,0
138,475.3,1,hang,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,0,1,naming,2.676967814,4,10,8547,2849,1439,1.844444444,1.222222222,30,1.4,1,4.066512278,5.206896552,6.68,1
170,438.1,1,have,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,0,1,naming,2.641573253,4,12,3429,1143,891,1.844444444,1.222222222,30,1.2,1.1,4.64073975,2.931034483,3.72,0
78,480,1,head,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,0,1,naming,2.681241237,4,13,4615,1538.333,1307,1.844444444,1.222222222,30,1.15,1,4.433433786,5.827586207,3.42,0
161,429.2,1,heat,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,0,1,naming,2.632659713,4,11,7745,2581.667,1416,1.844444444,1.222222222,30,1.2,1,3.764848357,5.034482759,5.33,1
141,422.1,1,help,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,0,1,naming,2.625415352,4,7,3566,1188.667,816,1.844444444,1.222222222,30,1.55,1.5,4.514228887,4.379310345,3.65,1
144,473.8,1,her,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,0,1,naming,2.675595056,3,6,7911,3955.5,985,1.844444444,1.222222222,30,1.3,1.25,4.52928916,4.103448276,5.092075,0
75,608.3,1,his,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,0,1,naming,2.784117816,3,6,3845,1922.5,976,1.844444444,1.222222222,30,1.4,1,4.596575105,4,3.685351,0
115,457.4,1,hit,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,0,1,naming,2.66029616,3,15,3263,1631.5,397,1.844444444,1.222222222,30,1,1,4.265266048,5.827586207,4.75,1
9,517.7,1,house,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,0,1,naming,2.714078165,5,5,6368,1592,1449,1.844444444,1.222222222,30,1.6,1.65,4.392098727,6.551724138,3.16,0
33,529.6,1,hurt,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,0,1,naming,2.723947976,4,5,2647,882.333,922,1.844444444,1.222222222,30,1.65,1.2,3.894149847,5,4,1
107,688.7,1,ice,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,0,0,0,naming,2.838030083,3,4,3939,1969.5,73,1.844444444,1.222222222,30,1.45,1,3.818489822,5.965517241,3.86,1
108,531,1,job,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,1,0,0,naming,2.725094521,3,14,503,251.5,220,1.844444444,1.222222222,30,1.2,1.45,4.412913926,4.724137931,5.39,0
99,533,1,join,naming1,TDchild,Female,147.96,1,0,0,0,0,0,0,1,0,0,naming,2.726727209,4,3,7389,2463,642,1.844444444,1.222222222,30,1.75,1.6,4.178861887,4,5.83,1
93,505.5,1,keep,naming1,TDchild,Female,147.96,0,0,0,0,0,0,0,0,1,0,naming,2.70372116,4,9,2442,814,395,1.844444444,1.222222222,30,1.5,1,4.509847434,2.689655172,4.42,1
116,575.8,1,land,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.760271661,4,11,7264,2421.333,1468,1.844444444,1.222222222,30,1.2,1,4.087035665,5.482758621,5.22,1
102,519.9,1,large,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.715919817,5,2,6501,1625.25,1665,1.844444444,1.222222222,30,1.85,1.8,4.147892645,4.448275862,5.74,1
25,453.5,1,lark,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.656577291,4,9,5254,1751.333,1406,1.844444444,1.222222222,30,1.4,1.4,2.672097858,3.551724138,11.82,1
95,594.4,1,last,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.774078801,4,14,7036,2345.333,1462,1.844444444,1.222222222,30,1.15,1,4.56877649,3.413793103,4.346085,0
82,557.6,1,laugh,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.746322765,5,0,3279,819.75,709,1.844444444,1.222222222,30,1.95,1.05,3.879325301,6,3.79,0
159,497.1,1,learn,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.696443763,5,1,8669,2167.25,1512,1.844444444,1.222222222,30,1.8,1.5,4.084003991,3.75862069,4.44,0
67,506,1,less,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.704150517,4,8,9476,3158.667,1000,1.844444444,1.222222222,30,1.55,1.15,4.305114808,2.793103448,3.95,1
28,471.3,1,long,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.67329744,4,7,9994,3331.333,1705,1.844444444,1.222222222,30,1.5,1.2,4.544477329,4.482758621,4.239515,1
101,480.6,1,look,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.681783766,4,11,2624,874.667,807,1.844444444,1.222222222,30,1.4,1.1,4.609818435,4.482758621,4.05,0
49,502.4,1,love,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.701049631,4,12,3911,1303.667,758,1.844444444,1.222222222,30,1.15,1.35,4.46170857,5,5.17,0
105,495,1,man,naming1,TDchild,Female,147.96,1,1,0,0,1,0,0,0,0,0,naming,2.694605199,3,16,5163,2581.5,1372,1.844444444,1.222222222,30,1,1,4.489283323,6.275862069,3.11,1
129,521.5,1,match,naming1,TDchild,Female,147.96,1,1,0,0,1,0,0,0,0,0,naming,2.717254313,5,8,7617,1904.25,1681,1.844444444,1.222222222,30,1.55,1.3,3.970160843,4.892857143,5.72,1
127,512,1,mend,naming1,TDchild,Female,147.96,1,1,0,0,1,0,0,0,0,0,naming,2.709269961,4,11,7319,2439.667,1364,1.844444444,1.222222222,30,1.3,1.2,2.876794976,4.862068966,9.11,1
10,1027.5,1,monk,naming1,TDchild,Female,147.96,1,1,0,0,1,0,0,0,0,0,naming,3.011781831,4,5,5856,1952,1644,1.844444444,1.222222222,30,1.7,1.4,2.649334859,5.517241379,10.29,0
37,521.3,1,month,naming1,TDchild,Female,147.96,1,1,0,0,1,0,0,0,0,0,naming,2.717087725,5,2,9911,2477.75,2268,1.844444444,1.222222222,30,1.8,1.9,4.096979495,3.310344828,5.79,0
130,458.4,1,mood,naming1,TDchild,Female,147.96,1,1,0,0,1,0,0,0,0,0,naming,2.661244609,4,9,2425,808.333,971,1.844444444,1.222222222,30,1.35,1,3.684755622,3.689655172,6.58,1
29,870.5,1,mould,naming1,TDchild,Female,147.96,1,1,0,0,1,0,0,0,0,0,naming,2.939768775,5,3,4003,1000.75,1141,1.844444444,1.222222222,30,1.8,1,3.102776615,5.068965517,11.33,0
80,550.8,1,move,naming1,TDchild,Female,147.96,1,1,0,0,1,0,0,0,0,0,naming,2.740993932,4,9,3406,1135.333,926,1.844444444,1.222222222,30,1.35,1.4,4.3887227,4.655172414,4.62,0
72,568.4,1,noise,naming1,TDchild,Female,147.96,1,1,0,0,0,0,0,0,0,0,naming,2.754654069,5,4,5939,1484.75,950,1.844444444,1.222222222,30,1.7,1.7,3.789651209,4.24137931,4.5,0
97,881.8,1,nor,naming1,TDchild,Female,147.96,1,1,0,0,0,0,0,0,0,0,naming,2.945370094,3,5,3553,1776.5,971,1.844444444,1.222222222,30,1.6,1,3.589837943,2,8.608885,0
11,619.5,1,now,naming1,TDchild,Female,147.96,1,1,0,0,0,0,0,0,0,0,naming,2.792041311,3,15,1485,742.5,431,1.844444444,1.222222222,30,1.05,1.15,4.634598171,3.310344828,5.25193,1
62,793,1,nurse,naming1,TDchild,Female,147.96,1,1,0,0,0,0,0,0,0,0,naming,2.899273187,5,3,5125,1281.25,1133,1.844444444,1.222222222,30,1.8,1.65,3.45909079,6.206896552,5.84,1
120,483,1,part,naming1,TDchild,Female,147.96,0,0,0,0,1,0,0,0,0,0,naming,2.683947131,4,14,5066,1688.667,1908,1.844444444,1.222222222,30,1,1.05,4.479287316,3,5.11,1
89,463.2,1,pink,naming1,TDchild,Female,147.96,0,0,0,0,1,0,0,0,0,0,naming,2.665768551,4,14,8002,2667.333,901,1.844444444,1.222222222,30,1.15,1.15,3.66133934,6.655172414,3.8,1
128,467,1,plant,naming1,TDchild,Female,147.96,0,0,0,0,1,0,0,0,0,0,naming,2.669316881,5,4,9297,2324.25,1590,1.844444444,1.222222222,30,1.55,1.6,3.689752696,6.172413793,3.95,0
134,504,1,plus,naming1,TDchild,Female,147.96,0,0,0,0,1,0,0,0,0,0,naming,2.702430536,4,2,2826,942,621,1.844444444,1.222222222,30,1.75,1.65,3.876564214,3.379310345,6.370915,1
56,525,1,posh,naming1,TDchild,Female,147.96,0,0,0,0,1,0,0,0,0,0,naming,2.720159303,4,9,3215,1071.667,822,1.844444444,1.222222222,30,1.55,1.4,3.396896449,4.586206897,11.88,1
139,502,1,pure,naming1,TDchild,Female,147.96,0,0,0,0,1,0,0,0,0,0,naming,2.700703717,4,9,6292,2097.333,1204,1.844444444,1.222222222,30,1.4,1.75,3.534280005,3.172413793,7.95,0
83,448.1,1,put,naming1,TDchild,Female,147.96,0,0,0,0,1,0,0,0,0,0,naming,2.651374944,3,15,1338,669,574,1.844444444,1.222222222,30,1.05,1.05,4.568706152,2.586206897,3.72,0
122,619,1,range,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.791690649,5,0,11723,2930.75,1621,1.844444444,1.222222222,30,1.65,1.7,3.908324139,2.931034483,7.11,0
15,581,1,rash,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.764176132,4,11,5857,1952.333,881,1.844444444,1.222222222,30,1.25,1,2.798650645,5.172413793,5.78,1
90,654,1,reach,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.815577748,5,8,9338,2334.5,2799,1.844444444,1.222222222,30,1.45,1.25,3.960756091,4,4.89,1
3,539,1,real,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.731588765,4,14,9421,3140.333,2432,1.844444444,1.222222222,30,1.15,1.85,4.421192468,2.517241379,4.95,0
47,757.6,1,rear,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.879439966,4,16,9322,3107.333,2630,1.844444444,1.222222222,30,1.1,1,3.294466226,4,6.89,0
76,492,1,rent,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.691965103,4,15,11376,3792,2427,1.844444444,1.222222222,30,1.2,1,3.44870632,3.931034483,8.89,1
36,540,1,rinse,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.73239376,5,0,13656,3414,1454,1.844444444,1.222222222,30,1.95,1.6,2.491361694,4.965517241,4.95,1
118,622,1,roast,naming1,TDchild,Female,147.96,1,0,0,1,0,0,1,0,0,0,naming,2.793790385,5,4,7580,1895,1123,1.844444444,1.222222222,30,1.75,1.1,3.118264726,5.344827586,8.5,0
104,399.8,1,saw,naming1,TDchild,Female,147.96,0,0,1,0,0,0,1,0,0,0,naming,2.60184279,3,15,962,481,409,1.844444444,1.222222222,30,1.1,1,4.357839597,4.793103448,5.3585,0
143,696.2,1,scarce,naming1,TDchild,Female,147.96,0,0,1,0,0,0,1,0,0,0,naming,2.842734019,6,0,7709,1541.8,1136,1.844444444,1.222222222,30,1.95,1.85,2.763427994,2.137931034,10.53,0
88,654.4,1,scold,naming1,TDchild,Female,147.96,0,0,1,0,0,0,1,0,0,0,naming,2.815843291,5,1,4977,1244.25,677,1.844444444,1.222222222,30,1.85,1.7,1.556302501,5.068965517,8.53,0
6,521.1,1,sense,naming1,TDchild,Female,147.96,0,0,1,0,0,0,1,0,0,0,naming,2.716921073,5,2,9734,2433.5,1753,1.844444444,1.222222222,30,1.8,1.2,4.225980885,2.862068966,7.32,1
149,454.3,1,shall,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.657342737,5,6,7121,1780.25,1218,1.844444444,1.222222222,30,1.65,1.25,4.19813452,1.655172414,8.42,1
58,384,1,share,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.584331224,5,15,9947,2486.75,1798,1.844444444,1.222222222,30,1.1,1,4.02473189,3.655172414,4.84,0
24,409,1,she,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.611723308,3,4,3044,1522,754,1.844444444,1.222222222,30,1.6,1,4.545307116,4.034482759,3.568124,1
45,445,1,short,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.648360011,5,7,6246,1561.5,1227,1.844444444,1.222222222,30,1.45,1.5,4.196921945,4.620689655,4.32,0
43,504,1,shout,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.702430536,5,6,5106,1276.5,1021,1.844444444,1.222222222,30,1.55,1.45,3.583538819,5.24137931,4.72,1
2,462.4,1,show,naming1,TDchild,Female,147.96,0,0,1,0,0,0,0,1,0,0,naming,2.665017825,4,10,3175,1058.333,936,1.844444444,1.222222222,30,1.25,1,4.496680618,4.793103448,6.21,0
19,442.5,1,skate,naming1,TDchild,Female,147.96,0,0,1,0,0,0,1,0,0,0,naming,2.645913275,5,2,8916,2229,1126,1.844444444,1.222222222,30,1.7,1.35,2.57634135,5.896551724,5.37,1
18,431,1,skill,naming1,TDchild,Female,147.96,0,0,1,0,0,0,1,0,0,0,naming,2.63447727,5,5,3701,925.25,597,1.844444444,1.222222222,30,1.6,1.15,3.547897718,2.965517241,6.8,1
8,442.4,1,staff,naming1,TDchild,Female,147.96,0,0,1,0,0,0,1,0,0,0,naming,2.645815118,5,2,6077,1519.25,1145,1.844444444,1.222222222,30,1.85,1.45,3.940964493,5,10,0
